iter	Passed	Remaining
0	57	57482
1	60	30110
2	67	22361
3	69	17249
4	74	14804
5	76	12664
6	81	11538
7	88	10938
8	91	10128
9	94	9324
10	95	8620
11	97	8059
12	99	7586
13	101	7177
14	103	6793
15	105	6472
16	107	6202
17	109	5969
18	111	5756
19	113	5556
20	115	5376
21	119	5317
22	122	5217
23	124	5066
24	126	4934
25	128	4815
26	130	4712
27	132	4598
28	134	4498
29	139	4506
30	144	4506
31	146	4433
32	153	4484
33	157	4462
34	161	4443
35	178	4769
36	183	4776
37	189	4790
38	195	4825
39	200	4815
40	221	5172
41	235	5371
42	242	5398
43	269	5857
44	293	6222
45	317	6589
46	322	6545
47	331	6582
48	334	6495
49	340	6465
50	344	6404
51	347	6333
52	349	6241
53	357	6259
54	359	6174
55	364	6142
56	368	6092
57	372	6057
58	384	6138
59	390	6124
60	398	6130
61	405	6133
62	409	6094
63	411	6023
64	415	5971
65	417	5904
66	419	5839
67	422	5792
68	424	5734
69	438	5826
70	448	5866
71	450	5805
72	452	5745
73	454	5688
74	456	5632
75	458	5577
76	460	5524
77	465	5502
78	471	5496
79	476	5479
80	478	5429
81	485	5435
82	494	5464
83	502	5477
84	509	5483
85	521	5541
86	529	5554
87	537	5570
88	541	5539
89	545	5513
90	553	5526
91	556	5497
92	565	5510
93	570	5497
94	579	5519
95	587	5534
96	597	5560
97	603	5556
98	608	5539
99	613	5521
100	620	5522
101	622	5479
102	629	5481
103	637	5489
104	639	5448
105	644	5434
106	649	5417
107	655	5412
108	657	5372
109	664	5373
110	672	5389
111	674	5346
112	675	5303
113	678	5271
114	680	5240
115	683	5207
116	685	5171
117	688	5149
118	690	5114
119	692	5077
120	693	5039
121	695	5005
122	699	4984
123	700	4947
124	702	4916
125	704	4889
126	706	4853
127	708	4824
128	712	4807
129	716	4797
130	720	4781
131	722	4753
132	724	4721
133	726	4692
134	727	4663
135	733	4657
136	735	4631
137	736	4603
138	740	4586
139	742	4558
140	745	4543
141	749	4528
142	751	4503
143	756	4494
144	757	4468
145	759	4444
146	763	4432
147	765	4407
148	769	4394
149	772	4379
150	774	4356
151	778	4343
152	780	4321
153	782	4299
154	786	4285
155	787	4263
156	790	4247
157	792	4225
158	794	4204
159	796	4180
160	798	4159
161	801	4147
162	803	4124
163	812	4141
164	814	4122
165	818	4113
166	822	4100
167	824	4081
168	829	4080
169	831	4060
170	833	4042
171	835	4023
172	839	4013
173	842	4001
174	844	3983
175	846	3964
176	850	3955
177	852	3938
178	857	3935
179	864	3940
180	867	3923
181	870	3913
182	874	3903
183	876	3887
184	879	3875
185	883	3868
186	885	3850
187	888	3838
188	896	3846
189	900	3840
190	902	3824
191	905	3809
192	908	3800
193	910	3784
194	912	3768
195	914	3753
196	916	3737
197	923	3740
198	928	3739
199	934	3739
200	940	3738
201	942	3723
202	944	3707
203	946	3693
204	951	3688
205	961	3705
206	971	3720
207	989	3766
208	990	3750
209	998	3754
210	1008	3771
211	1016	3778
212	1023	3782
213	1026	3768
214	1030	3764
215	1036	3761
216	1037	3744
217	1039	3729
218	1047	3734
219	1048	3717
220	1052	3711
221	1056	3702
222	1058	3687
223	1061	3678
224	1065	3669
225	1068	3659
226	1070	3644
227	1072	3629
228	1073	3614
229	1079	3613
230	1084	3610
231	1086	3595
232	1087	3579
233	1089	3566
234	1091	3554
235	1093	3541
236	1095	3527
237	1100	3522
238	1101	3508
239	1104	3496
240	1105	3482
241	1108	3470
242	1109	3457
243	1111	3442
244	1113	3430
245	1115	3417
246	1116	3403
247	1118	3390
248	1119	3377
249	1121	3365
250	1123	3352
251	1126	3344
252	1131	3339
253	1134	3330
254	1136	3321
255	1141	3316
256	1150	3327
257	1152	3315
258	1154	3302
259	1156	3291
260	1158	3280
261	1159	3267
262	1161	3255
263	1163	3243
264	1165	3231
265	1166	3219
266	1170	3212
267	1174	3206
268	1177	3200
269	1188	3213
270	1191	3204
271	1193	3194
272	1197	3188
273	1201	3183
274	1203	3172
275	1208	3170
276	1210	3159
277	1216	3159
278	1218	3148
279	1220	3138
280	1222	3128
281	1225	3120
282	1228	3112
283	1231	3103
284	1233	3093
285	1237	3090
286	1239	3080
287	1245	3079
288	1247	3069
289	1251	3064
290	1253	3054
291	1258	3051
292	1261	3043
293	1263	3033
294	1270	3035
295	1275	3034
296	1277	3024
297	1282	3022
298	1285	3013
299	1287	3004
300	1291	2999
301	1295	2994
302	1298	2987
303	1300	2977
304	1303	2969
305	1307	2964
306	1310	2958
307	1313	2950
308	1315	2941
309	1321	2941
310	1324	2933
311	1329	2932
312	1331	2923
313	1333	2914
314	1336	2905
315	1338	2896
316	1340	2887
317	1347	2890
318	1349	2881
319	1354	2877
320	1360	2877
321	1363	2871
322	1370	2871
323	1377	2873
324	1383	2872
325	1394	2882
326	1396	2874
327	1400	2868
328	1403	2862
329	1405	2853
330	1408	2846
331	1411	2839
332	1414	2833
333	1416	2825
334	1423	2826
335	1430	2827
336	1435	2824
337	1437	2815
338	1439	2806
339	1443	2801
340	1449	2801
341	1451	2793
342	1455	2787
343	1458	2781
344	1461	2774
345	1464	2768
346	1469	2764
347	1470	2755
348	1475	2752
349	1478	2745
350	1480	2737
351	1485	2733
352	1487	2725
353	1492	2723
354	1499	2723
355	1504	2721
356	1506	2713
357	1509	2707
358	1512	2701
359	1515	2694
360	1519	2689
361	1523	2685
362	1525	2677
363	1528	2671
364	1532	2665
365	1536	2662
366	1539	2654
367	1542	2648
368	1546	2644
369	1549	2638
370	1553	2634
371	1555	2626
372	1559	2621
373	1563	2616
374	1566	2610
375	1570	2605
376	1572	2598
377	1574	2590
378	1582	2593
379	1590	2594
380	1594	2589
381	1600	2589
382	1606	2588
383	1609	2582
384	1613	2576
385	1624	2583
386	1635	2591
387	1638	2583
388	1658	2604
389	1661	2598
390	1669	2600
391	1674	2597
392	1676	2589
393	1686	2593
394	1688	2585
395	1695	2586
396	1703	2587
397	1706	2580
398	1708	2572
399	1710	2565
400	1712	2557
401	1716	2552
402	1724	2554
403	1726	2546
404	1730	2542
405	1743	2551
406	1757	2561
407	1763	2558
408	1770	2558
409	1777	2558
410	1783	2555
411	1788	2552
412	1802	2562
413	1806	2556
414	1811	2554
415	1825	2563
416	1828	2555
417	1831	2549
418	1833	2541
419	1836	2536
420	1838	2529
421	1840	2521
422	1842	2513
423	1844	2506
424	1854	2509
425	1856	2501
426	1858	2494
427	1860	2486
428	1871	2491
429	1873	2483
430	1875	2476
431	1877	2468
432	1885	2469
433	1887	2461
434	1897	2463
435	1898	2456
436	1901	2449
437	1903	2441
438	1905	2434
439	1908	2429
440	1915	2427
441	1917	2420
442	1923	2419
443	1925	2411
444	1936	2415
445	1938	2407
446	1940	2401
447	1962	2417
448	1977	2426
449	1987	2429
450	2003	2438
451	2005	2431
452	2027	2448
453	2029	2441
454	2041	2444
455	2043	2437
456	2051	2437
457	2060	2438
458	2067	2437
459	2074	2435
460	2083	2436
461	2094	2439
462	2098	2433
463	2102	2429
464	2106	2424
465	2110	2418
466	2117	2416
467	2119	2409
468	2123	2404
469	2126	2397
470	2131	2393
471	2133	2386
472	2149	2394
473	2156	2392
474	2164	2392
475	2170	2388
476	2172	2382
477	2179	2380
478	2186	2378
479	2194	2377
480	2196	2369
481	2201	2366
482	2208	2364
483	2214	2361
484	2221	2358
485	2229	2357
486	2236	2356
487	2242	2352
488	2245	2346
489	2250	2342
490	2252	2334
491	2254	2327
492	2255	2319
493	2258	2313
494	2261	2307
495	2265	2302
496	2267	2294
497	2269	2287
498	2274	2283
499	2277	2277
500	2279	2269
501	2281	2263
502	2287	2260
503	2290	2253
504	2292	2246
505	2295	2241
506	2298	2234
507	2302	2229
508	2308	2227
509	2311	2220
510	2313	2213
511	2317	2208
512	2319	2201
513	2326	2199
514	2330	2194
515	2339	2194
516	2351	2196
517	2364	2200
518	2368	2194
519	2375	2192
520	2377	2185
521	2382	2181
522	2390	2180
523	2398	2179
524	2401	2172
525	2403	2166
526	2407	2160
527	2414	2158
528	2417	2152
529	2424	2149
530	2432	2148
531	2439	2146
532	2446	2143
533	2451	2139
534	2458	2136
535	2464	2133
536	2470	2129
537	2473	2124
538	2483	2124
539	2487	2119
540	2494	2116
541	2500	2112
542	2508	2110
543	2515	2108
544	2524	2107
545	2533	2106
546	2541	2104
547	2554	2107
548	2563	2105
549	2570	2102
550	2577	2100
551	2582	2095
552	2585	2089
553	2591	2086
554	2597	2083
555	2606	2081
556	2612	2077
557	2620	2075
558	2629	2074
559	2637	2071
560	2643	2068
561	2652	2066
562	2656	2062
563	2664	2060
564	2666	2053
565	2669	2046
566	2677	2045
567	2679	2038
568	2682	2031
569	2689	2028
570	2694	2024
571	2701	2021
572	2709	2019
573	2715	2015
574	2721	2011
575	2728	2008
576	2734	2004
577	2736	1998
578	2744	1995
579	2749	1990
580	2755	1987
581	2762	1984
582	2764	1977
583	2772	1974
584	2779	1972
585	2780	1964
586	2788	1961
587	2790	1955
588	2794	1950
589	2800	1946
590	2807	1942
591	2814	1939
592	2815	1932
593	2821	1928
594	2826	1923
595	2830	1918
596	2838	1915
597	2843	1911
598	2850	1907
599	2852	1901
600	2861	1899
